鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物)+車位,永翠段31~60地號,20.45,住,,,1070611,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.94,3,2,2,有,無,18450000,128255,坡道平面,30.12,1800000,,RPUNMLTKNHPFFAF66CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,20.45,住,,,1070609,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.94,3,2,2,有,無,18300000,128640,坡道平面,30.12,1600000,,RPWNMLTKNHPFFAF86CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,20.45,住,,,1070525,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.94,3,2,2,有,無,18250000,128255,坡道平面,30.12,1600000,,RPXNMLTKNHPFFAF96CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,20.45,住,,,1080224,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.09,3,2,2,有,無,18460000,127029,坡道平面,30.12,1950000,,RPOOMLTKNHPFFAF78CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070225,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12700000,128964,坡道平面,30.12,1800000,,RPROMLTKNHPFFAF09CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070309,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12180000,126361,坡道平面,30.12,1500000,,RPTOMLTKNHPFFAF66CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070201,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12480000,127544,坡道平面,30.12,1700000,,RPUOMLTKNHPFFAF76CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1061210,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12280000,126361,坡道平面,30.12,1600000,,RPWOMLTKNHPFFAF96CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070115,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12630000,128135,坡道平面,30.12,1800000,,RPXOMLTKNHPFFAF07CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070117,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12400000,127780,坡道平面,30.12,1600000,,RPPPMLTKNHPFFAF98CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070216,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.14,2,1,1,有,無,12330000,128727,坡道平面,25.62,1450000,,RPRPMLTKNHPFFAF56CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1061207,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12630000,127544,坡道平面,30.12,1850000,,RPUPMLTKNHPFFAF86CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070224,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.64,2,1,1,有,無,12850000,129555,坡道平面,30.12,1900000,,RPWPMLTKNHPFFAF07CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,13.63,住,,,1070116,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.76,2,1,1,有,無,12380000,128544,坡道平面,30.12,1500000,,RPPQMLTKNHPFFAF09CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,20.02,住,,,1071205,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.22,3,2,2,有,無,17880000,127088,坡道平面,30.12,1600000,,RPTQMLTKNHPFFAF86CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,20.45,住,,,1070331,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.34,3,2,2,有,無,19100000,125683,坡道平面,60.24,3000000,,RPXQMLTKNHPFFAF27CB
板橋區,房地(土地+建物)+車位,永翠段31~60地號,20.02,住,,,1070514,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.22,3,2,2,有,無,17740000,125995,坡道平面,30.12,1600000,,RPORMLTKNHPFFAF09CB
